Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,6,表,1,1,1,-,-,-,中本伸太朗,福井工業大学,右,加藤遥人,北陸大学,右,スライダー,,7,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,遊撃手,1,0,0,0,J3
2025/10/4,6,表,0,0,2,-,-,-,中本伸太朗,福井工業大学,右,久保田大成,北陸大学,右,ストレート,,,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,表,0,1,2,-,-,-,中本伸太朗,福井工業大学,右,久保田大成,北陸大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,表,1,1,2,-,-,-,中本伸太朗,福井工業大学,右,久保田大成,北陸大学,右,スライダー,,6,外角,インプレー,1,1,1,1,1,,-,単打,ゴロ,中堅手,0,0,0,0,K3
2025/10/4,6,表,0,0,2,○,-,-,中本伸太朗,福井工業大学,右,唐澤 旬,北陸大学,左,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,表,0,0,2,○,-,-,中本伸太朗,福井工業大学,右,唐澤 旬,北陸大学,左,ストレート,,7,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,一塁手,1,0,0,0,V2
2025/10/4,6,裏,0,0,0,-,-,-,與 賢史朗,北陸大学,右,池邉 由伸,福井工業大学,左,カーブ,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,0,0,-,-,-,與 賢史朗,北陸大学,右,池邉 由伸,福井工業大学,左,ストレート,,8,外角,インプレー,1,1,1,0,1,,-,アウト,ライナー,中堅手,1,0,0,0,Q6
2025/10/4,6,裏,0,0,1,-,-,-,東 天真,北陸大学,左,髙松紳志,福井工業大学,左,カーブ,,,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,0,1,-,-,-,東 天真,北陸大学,左,髙松紳志,福井工業大学,左,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,0,1,-,-,-,東 天真,北陸大学,左,髙松紳志,福井工業大学,左,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,3,0,1,-,-,-,東 天真,北陸大学,左,髙松紳志,福井工業大学,左,スライダー,,13,外角,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2025/10/4,6,裏,0,0,1,○,-,-,東 天真,北陸大学,左,細川叶人,福井工業大学,右,スライダー,,6,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,1,1,○,-,-,東 天真,北陸大学,左,細川叶人,福井工業大学,右,,,,内角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,1,1,○,-,-,東 天真,北陸大学,左,細川叶人,福井工業大学,右,ストレート,,3,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,2,1,○,-,-,東 天真,北陸大学,左,細川叶人,福井工業大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,2,1,○,-,-,東 天真,北陸大学,左,細川叶人,福井工業大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,2,1,○,-,-,東 天真,北陸大学,左,細川叶人,福井工業大学,右,カーブ,,2,外角,インプレー,1,1,1,1,1,,-,単打,ゴロ,左翼手,0,0,0,0,E3
2025/10/4,6,裏,0,0,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,0,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,0,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,ストレート,,14,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,1,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,ストレート,,12,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,2,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,2,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,3,2,1,○,○,-,東 天真,北陸大学,左,野口恭平,福井工業大学,左,ストレート,,14,外角,ボール,1,1,0,0,0,四球,-,,,,0,0,0,2,
2025/10/4,6,裏,0,0,1,○,○,○,堀 紫央,北陸大学,右,山田久敬,福井工業大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,0,1,○,○,○,堀 紫央,北陸大学,右,山田久敬,福井工業大学,左,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,1,1,○,○,○,堀 紫央,北陸大学,右,山田久敬,福井工業大学,左,ストレート,,9,外角,インプレー,1,1,0,0,1,,-,犠飛,フライ,右翼手,1,1,1,0,R5
2025/10/4,6,裏,0,0,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,0,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,0,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,スライダー,,2,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,1,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,スライダー,,1,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,2,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,3,2,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,スライダー,,3,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,3,2,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,スライダー,,3,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,3,2,2,○,○,-,堀 紫央,北陸大学,右,辻本匡登,福井工業大学,右,スライダー,,11,,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2025/10/4,6,裏,0,0,2,○,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,スライダー,,7,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,1,2,○,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,スライダー,,1,内角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,0,2,2,○,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,1,0,0,
2025/10/4,6,裏,1,2,2,-,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,スライダー,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,2,2,-,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,ストレート,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
